Date,Open,High,Low,Close,Adj Close,Volume
2014-01-01,154.550003,157.750000,154.550003,156.300003,148.394287,851727
2014-01-02,155.699997,159.399994,151.100006,152.649994,144.928879,2862278
2014-01-03,151.500000,153.850006,147.500000,149.899994,142.317993,1636752
2014-01-06,150.500000,152.500000,149.000000,150.850006,143.219955,750034
2014-01-07,150.850006,152.199997,145.300003,145.949997,138.567780,1069056
2014-01-08,147.100006,152.199997,144.399994,150.750000,143.125000,1195550
2014-01-09,149.449997,153.199997,148.550003,149.550003,141.985703,1377312
2014-01-10,150.300003,152.000000,147.699997,148.300003,140.798920,820545
2014-01-13,148.500000,149.949997,142.199997,143.750000,136.479065,1444514
2014-01-14,143.000000,149.699997,142.000000,147.050003,139.612167,2065518
2014-01-15,147.100006,150.899994,147.100006,150.100006,142.507889,1073586
2014-01-16,149.100006,152.449997,149.100006,150.800003,143.172485,1193550
2014-01-17,150.199997,151.600006,145.100006,148.649994,141.131210,1122874
2014-01-20,149.100006,152.500000,148.750000,150.949997,143.314880,1223239
2014-01-21,151.000000,151.449997,146.149994,147.649994,140.181808,1112972
2014-01-22,147.649994,149.600006,146.649994,147.899994,140.419144,732908
2014-01-23,147.199997,149.600006,147.199997,148.300003,140.798920,1518047
2014-01-24,147.500000,149.199997,143.149994,145.000000,137.665833,4192128
2014-01-27,143.550003,147.399994,141.250000,143.949997,136.668961,2467215
2014-01-28,143.600006,146.399994,141.050003,142.000000,134.817596,1453706
2014-01-29,144.000000,147.800003,143.350006,146.649994,139.232376,1503702
2014-01-30,144.699997,146.350006,141.000000,141.649994,134.485291,1530051
2014-01-31,143.000000,147.550003,142.300003,146.949997,139.517227,765126
2014-02-03,146.399994,146.649994,143.399994,143.949997,136.668961,520680
2014-02-04,142.500000,148.500000,141.949997,146.899994,139.469727,787885
2014-02-05,146.899994,148.500000,144.500000,145.699997,138.330429,2446824
2014-02-06,148.000000,148.850006,145.699997,146.399994,138.995026,720689
2014-02-07,147.500000,152.500000,146.699997,147.500000,140.039398,6366201
2014-02-10,147.250000,149.100006,146.699997,148.050003,140.561584,1981260
2014-02-11,149.899994,150.000000,147.550003,148.250000,140.751480,2114388
2014-02-12,149.000000,149.199997,144.350006,146.050003,138.662735,835543
2014-02-13,146.100006,147.250000,143.500000,144.149994,136.858841,734478
2014-02-14,143.350006,148.399994,143.350006,147.050003,139.612167,919174
2014-02-17,148.399994,152.000000,146.199997,151.199997,143.552216,647048
2014-02-18,152.000000,160.399994,151.449997,159.649994,151.574829,3306662
2014-02-19,160.000000,165.000000,158.500000,164.100006,155.799774,2624162
2014-02-20,161.050003,167.500000,160.149994,164.800003,156.464340,2344760
